module,normal_time,skipkernel_time
Mathlib.Computability.Partrec,0m2.377s,0m2.513s
Mathlib.Tactic.CategoryTheory.BicategoryCoherence,0m1.699s,0m1.819s
Mathlib.Order.CompleteSublattice,0m1.902s,0m2.142s
Mathlib.Order.Category.BddLat,0m2.544s,0m2.646s
Mathlib.Combinatorics.Pigeonhole,0m1.707s,0m1.942s
Mathlib.CategoryTheory.Comma.StructuredArrow.Basic,0m9.950s,0m10.312s
Mathlib.Combinatorics.Enumerative.InclusionExclusion,0m2.807s,0m3.077s
Mathlib.Combinatorics.SimpleGraph.Walks.Traversal,0m2.005s,0m2.038s
Mathlib.CategoryTheory.Bicategory.Product,0m6.703s,0m6.297s
Mathlib.Combinatorics.SimpleGraph.Finite,0m2.103s,0m2.125s
Mathlib.CategoryTheory.Localization.HasLocalization,0m1.278s,0m1.321s
Mathlib.CategoryTheory.Localization.Prod,0m1.479s,0m1.628s
Mathlib.CategoryTheory.Localization.Equivalence,0m1.403s,0m1.521s
Mathlib.CategoryTheory.Localization.Adjunction,0m1.799s,0m2.063s
Mathlib.CategoryTheory.Monad.Adjunction,0m2.746s,0m2.964s
Mathlib.CategoryTheory.Bicategory.FunctorBicategory.Pseudo,0m2.930s,0m3.084s
Mathlib.Order.BooleanSubalgebra,0m4.845s,0m5.094s
Mathlib.Algebra.BigOperators.Balance,0m1.583s,0m1.742s
Mathlib.LinearAlgebra.Matrix.Integer,0m1.680s,0m1.836s
Mathlib.LinearAlgebra.Matrix.Orthogonal,0m1.391s,0m1.429s
Mathlib.LinearAlgebra.Matrix.Irreducible.Defs,0m2.034s,0m2.115s
Mathlib.CategoryTheory.FiberedCategory.Grothendieck,0m2.527s,0m2.684s
Mathlib.LinearAlgebra.Matrix.SemiringInverse,0m2.366s,0m2.631s
Mathlib.Data.DFinsupp.Submonoid,0m1.469s,0m1.676s
Mathlib.Algebra.Order.BigOperators.Expect,0m2.845s,0m3.067s
Mathlib.Data.DFinsupp.Interval,0m1.796s,0m1.940s
Mathlib.Data.Matrix.Action,0m2.014s,0m2.236s
Mathlib.Data.Matrix.PEquiv,0m2.222s,0m2.475s
Mathlib.Data.DFinsupp.Multiset,0m1.700s,0m1.857s
Mathlib.Algebra.Ring.Action.Pointwise.Finset,0m1.280s,0m1.396s
Mathlib.Combinatorics.Additive.SubsetSum,0m1.669s,0m1.744s
Mathlib.Algebra.FreeMonoid.UniqueProds,0m1.301s,0m1.416s
Mathlib.Combinatorics.Additive.CovBySMul,0m1.708s,0m1.929s
Mathlib.CategoryTheory.ObjectProperty.Retract,0m1.451s,0m1.752s
Mathlib.Algebra.Group.Action.Pointwise.Finset,0m2.188s,0m2.448s
Mathlib.SetTheory.Cardinal.ToNat,0m1.589s,0m1.621s
Mathlib.Topology.Order.Hom.Basic,0m1.532s,0m1.506s
Mathlib.Topology.Separation.SeparatedNhds,0m1.565s,0m1.703s
Mathlib.Data.Nat.Fib.Zeckendorf,0m1.595s,0m1.738s
Mathlib.Tactic.NormNum.NatFib,0m1.591s,0m1.756s
Mathlib.Combinatorics.Additive.DoublingConst,0m3.311s,0m3.662s
Mathlib.Topology.Order,0m2.070s,0m2.215s
Mathlib.CategoryTheory.Limits.Unit,0m1.313s,0m1.421s
Mathlib.Data.Int.Fib.Basic,0m2.637s,0m2.647s
Mathlib.CategoryTheory.Limits.Pi,0m1.391s,0m1.442s
Mathlib.Algebra.Category.Ring.Colimits,0m2.946s,0m3.041s
Mathlib.CategoryTheory.Limits.Shapes.Terminal,0m2.497s,0m2.647s
Mathlib.CategoryTheory.Limits.Types.Limits,0m1.681s,0m1.831s
Mathlib.CategoryTheory.Limits.Types.Colimits,0m1.690s,0m1.713s
Mathlib.Combinatorics.Additive.SmallTripling,0m7.230s,0m7.018s
Mathlib.CategoryTheory.Limits.Preserves.Basic,0m2.453s,0m2.437s
Mathlib.CategoryTheory.Adjunction.PartialAdjoint,0m4.228s,0m4.258s
Mathlib.ModelTheory.LanguageMap,0m2.323s,0m2.423s
Mathlib.SetTheory.Cardinal.UnivLE,0m1.496s,0m1.520s
Mathlib.CategoryTheory.Monoidal.Transport,0m2.753s,0m2.899s
Mathlib.CategoryTheory.Monoidal.Discrete,0m2.880s,0m2.972s
Mathlib.CategoryTheory.Limits.Shapes.WidePullbacks,0m5.009s,0m4.735s
Mathlib.SetTheory.Ordinal.Arithmetic,0m3.440s,0m3.630s
Mathlib.CategoryTheory.Limits.Fubini,0m6.391s,0m6.678s
Mathlib.Data.Nat.Lattice,0m1.583s,0m1.810s
Mathlib.Tactic.Simproc.FinsetInterval,0m2.195s,0m2.365s
Mathlib.CategoryTheory.Monoidal.Free.Coherence,0m3.673s,0m3.837s
Mathlib.Order.PartialSups,0m1.724s,0m1.824s
Mathlib.Data.Finset.Slice,0m1.505s,0m1.638s
Mathlib.Combinatorics.SetFamily.Shatter,0m1.694s,0m1.700s
Mathlib.Data.PNat.Interval,0m1.527s,0m1.526s
Mathlib.CategoryTheory.Limits.Shapes.Products,0m7.357s,0m7.329s
Mathlib.Data.Finset.Finsupp,0m1.516s,0m1.506s
Mathlib.Algebra.Group.Submonoid.Finsupp,0m1.624s,0m1.651s
Mathlib.Algebra.Group.Subgroup.Finsupp,0m1.612s,0m1.750s
Mathlib.Order.Interval.Finset.Fin,0m2.608s,0m2.732s
Mathlib.Algebra.BigOperators.Associated,0m1.599s,0m1.740s
Mathlib.GroupTheory.GroupAction.ConjAct,0m1.908s,0m2.047s
Mathlib.CategoryTheory.Monoidal.Action.Opposites,0m4.170s,0m4.294s
Mathlib.GroupTheory.Commutator.Basic,0m2.045s,0m2.128s
Mathlib.NumberTheory.Divisors,0m7.593s,0m7.214s
Mathlib.CategoryTheory.Monoidal.Action.End,0m4.931s,0m4.813s
Mathlib.Data.PFunctor.Multivariate.Basic,0m1.516s,0m1.511s
Mathlib.Data.PFunctor.Univariate.M,0m1.965s,0m1.917s
Mathlib.Algebra.ContinuedFractions.Determinant,0m1.505s,0m1.488s
Mathlib.Algebra.ContinuedFractions.ConvergentsEquiv,0m2.230s,0m2.239s
Mathlib.GroupTheory.GroupAction.SubMulAction,0m4.598s,0m4.601s
Mathlib.Algebra.ContinuedFractions.Computation.CorrectnessTerminating,0m2.290s,0m2.251s
Mathlib.Data.WSeq.Productive,0m1.288s,0m1.292s
Mathlib.Order.Filter.EventuallyConst,0m1.515s,0m1.498s
Mathlib.Order.Filter.Ultrafilter.Basic,0m1.456s,0m1.598s
Mathlib.Data.Seq.Parallel,0m1.692s,0m1.716s
Mathlib.Data.Finsupp.Basic,0m5.399s,0m5.395s
Mathlib.Topology.Bornology.Basic,0m1.491s,0m1.593s
Mathlib.Data.Rat.Floor,0m3.636s,0m3.743s
Mathlib.Order.Filter.IsBounded,0m2.302s,0m2.207s
Mathlib.Computability.TuringDegree,0m1.686s,0m1.672s
Mathlib.Data.Analysis.Filter,0m2.081s,0m2.222s
Mathlib.Order.CompleteLattice.SetLike,0m1.802s,0m1.739s
Mathlib.Order.Category.CompleteLat,0m1.725s,0m1.835s
Mathlib.CategoryTheory.Discrete.StructuredArrow,0m1.698s,0m1.743s
Mathlib.NumberTheory.ClassNumber.AdmissibleAbsoluteValue,0m1.781s,0m1.790s
Mathlib.CategoryTheory.Comma.StructuredArrow.Small,0m1.272s,0m1.298s
Mathlib.Order.Category.BddDistLat,0m2.114s,0m2.152s
Mathlib.CategoryTheory.Bicategory.Extension,0m2.483s,0m2.561s
Mathlib.Combinatorics.SimpleGraph.DeleteEdges,0m1.579s,0m1.616s
Mathlib.Combinatorics.SimpleGraph.IncMatrix,0m1.601s,0m1.701s
Mathlib.Combinatorics.SimpleGraph.Walks.Operations,0m2.415s,0m2.278s
Mathlib.CategoryTheory.Localization.LocallySmall,0m1.395s,0m1.408s
Mathlib.CategoryTheory.Comma.StructuredArrow.CommaMap,0m3.802s,0m3.717s
Mathlib.CategoryTheory.Localization.Pi,0m1.484s,0m1.491s
Mathlib.Computability.PartrecCode,0m5.936s,0m5.776s
Mathlib.CategoryTheory.Localization.Opposite,0m1.403s,0m1.388s
Mathlib.CategoryTheory.Localization.LocalizerMorphism,0m1.592s,0m1.848s
Mathlib.CategoryTheory.Localization.Bifunctor,0m2.035s,0m2.531s
Mathlib.CategoryTheory.Elements,0m4.268s,0m3.797s
Mathlib.Algebra.Group.Pointwise.Finset.Density,0m1.391s,0m1.540s
Mathlib.Data.Complex.BigOperators,0m1.691s,0m1.731s
Mathlib.CategoryTheory.Adjunction.Triple,0m2.002s,0m2.337s
Mathlib.Combinatorics.Additive.ETransform,0m1.724s,0m1.844s
Mathlib.Combinatorics.Additive.Convolution,0m2.295s,0m2.490s
Mathlib.Algebra.GroupWithZero.Action.Pointwise.Finset,0m1.697s,0m1.700s
Mathlib.Algebra.Pointwise.Stabilizer,0m2.407s,0m2.552s
Mathlib.Topology.Order.Hom.Esakia,0m1.786s,0m1.834s
Mathlib.SetTheory.Cardinal.Finite,0m2.014s,0m2.113s
Mathlib.Algebra.DirectSum.Basic,0m3.103s,0m3.274s
Mathlib.Topology.Instances.ZMod,0m1.253s,0m1.417s
Mathlib.CategoryTheory.Category.Cat.Terminal,0m1.290s,0m1.417s
Mathlib.Topology.UniformSpace.Defs,0m2.100s,0m2.210s
Mathlib.CategoryTheory.Category.Factorisation,0m1.586s,0m1.620s
Mathlib.Data.Int.Fib.Lemmas,0m1.936s,0m1.603s
Mathlib.Topology.Maps.Basic,0m2.001s,0m2.002s
Mathlib.CategoryTheory.Limits.Shapes.ZeroObjects,0m1.539s,0m1.493s
Mathlib.CategoryTheory.Limits.Types.Yoneda,0m2.274s,0m2.232s
Mathlib.CategoryTheory.Adjunction.Comma,0m1.822s,0m1.817s
Mathlib.CategoryTheory.Limits.Shapes.SingleObj,0m1.515s,0m1.481s
Mathlib.CategoryTheory.Limits.Preserves.Shapes.Terminal,0m1.622s,0m1.505s
Mathlib.CategoryTheory.Limits.Preserves.Limits,0m1.918s,0m1.705s
Mathlib.CategoryTheory.Category.Cat.Limit,0m2.740s,0m2.221s
Mathlib.CategoryTheory.Limits.Shapes.Connected,0m1.348s,0m1.298s
Mathlib.CategoryTheory.LocallyDirected,0m1.363s,0m1.398s
Mathlib.CategoryTheory.Limits.Creates,0m2.731s,0m2.755s
Mathlib.SetTheory.Ordinal.FixedPointApproximants,0m1.697s,0m1.593s
Mathlib.Data.Multiset.Interval,0m1.612s,0m1.605s
Mathlib.ModelTheory.Syntax,0m4.072s,0m3.982s
Mathlib.SetTheory.Ordinal.Family,0m3.048s,0m2.396s
Mathlib.Data.ENat.Lattice,0m1.909s,0m1.891s
Mathlib.CategoryTheory.Comma.Over.Basic,0m13.704s,0m12.584s
Mathlib.RingTheory.Nilpotent.Defs,0m1.593s,0m1.614s
Mathlib.CategoryTheory.Monoidal.Braided.Basic,0m6.035s,0m6.215s
Mathlib.CategoryTheory.Limits.Preserves.Bifunctor,0m4.184s,0m4.414s
Mathlib.Order.Interval.Set.OrdConnectedLinear,0m1.507s,0m1.484s
Mathlib.Order.OrderIsoNat,0m1.591s,0m1.566s
Mathlib.Data.List.PeriodicityLemma,0m3.123s,0m3.004s
Mathlib.Algebra.Order.Group.PartialSups,0m1.266s,0m1.394s
Mathlib.Algebra.Order.SuccPred.PartialSups,0m1.492s,0m1.496s
Mathlib.Tactic.CategoryTheory.Coherence,0m1.879s,0m2.001s
Mathlib.CategoryTheory.Category.Grpd,0m1.491s,0m1.494s
Mathlib.CategoryTheory.Limits.EssentiallySmall,0m1.263s,0m1.276s
Mathlib.NumberTheory.ADEInequality,0m1.904s,0m1.902s
Mathlib.CategoryTheory.Limits.SmallComplete,0m1.489s,0m1.457s
Mathlib.CategoryTheory.Limits.Preserves.Shapes.Products,0m1.475s,0m1.473s
Mathlib.CategoryTheory.EffectiveEpi.Basic,0m1.659s,0m1.675s
Mathlib.Order.Disjointed,0m1.574s,0m1.688s
Mathlib.Data.Fin.Tuple.Sort,0m1.473s,0m1.589s
Mathlib.CategoryTheory.Adjunction.Evaluation,0m2.931s,0m2.734s
Mathlib.Data.Fintype.Fin,0m1.468s,0m1.418s
Mathlib.Combinatorics.Additive.AP.Three.Defs,0m2.714s,0m2.702s
Mathlib.Data.Finset.Sups,0m4.063s,0m4.046s
Mathlib.Algebra.Ring.Action.ConjAct,0m1.287s,0m1.301s
Mathlib.Algebra.GroupWithZero.Action.ConjAct,0m1.291s,0m1.303s
Mathlib.RingTheory.UniqueFactorizationDomain.Basic,0m1.965s,0m1.883s
Mathlib.Tactic.Simproc.Divisors,0m1.287s,0m1.366s
Mathlib.Data.Finset.NatDivisors,0m1.379s,0m1.516s
Mathlib.Data.QPF.Multivariate.Basic,0m1.466s,0m1.735s
Mathlib.GroupTheory.Abelianization.Defs,0m1.570s,0m1.735s
Mathlib.GroupTheory.GroupAction.SubMulAction.Closure,0m1.388s,0m1.408s
Mathlib.Data.PFunctor.Multivariate.W,0m1.578s,0m1.506s
Mathlib.Data.PFunctor.Multivariate.M,0m1.810s,0m1.791s
Mathlib.Data.QPF.Univariate.Basic,0m1.601s,0m1.683s
Mathlib.GroupTheory.GroupAction.Quotient,0m3.052s,0m3.157s
Mathlib.Data.Seq.WSeq,0m1.206s,0m1.317s
Mathlib.RingTheory.TwoSidedIdeal.Basic,0m1.980s,0m2.023s
Mathlib.GroupTheory.GroupAction.SubMulAction.Pointwise,0m1.959s,0m1.947s
Mathlib.Topology.Algebra.RestrictedProduct.Basic,0m3.125s,0m3.131s
Mathlib.Topology.Ultrafilter,0m1.385s,0m1.511s
Mathlib.Algebra.Module.Submodule.Defs,0m2.506s,0m2.648s
Mathlib.CategoryTheory.WithTerminal.Basic,0m14.379s,0m14.871s
Mathlib.Algebra.Category.MonCat.Adjunctions,0m2.111s,0m2.100s
Mathlib.Algebra.ContinuedFractions.Computation.Approximations,0m3.178s,0m3.172s
Mathlib.Data.Finsupp.SMul,0m1.785s,0m1.802s
Mathlib.Data.Finsupp.Order,0m2.183s,0m2.198s
Mathlib.Data.Finsupp.Multiset,0m1.911s,0m1.894s
Mathlib.Data.Finsupp.AList,0m1.483s,0m1.463s
Mathlib.Data.Finsupp.Sigma,0m1.464s,0m1.496s
Mathlib.Topology.Bornology.Constructions,0m1.490s,0m1.477s
Mathlib.Topology.Bornology.Hom,0m1.475s,0m1.473s
Mathlib.Data.Finsupp.Option,0m1.773s,0m1.795s
Mathlib.Topology.Bornology.Absorbs,0m1.773s,0m1.794s
Mathlib.SetTheory.Descriptive.Tree,0m1.602s,0m1.598s
Mathlib.Data.Int.CardIntervalMod,0m2.291s,0m2.304s
Mathlib.Data.NNRat.Floor,0m2.214s,0m2.210s
Mathlib.Order.Category.FinBddDistLat,0m2.092s,0m2.028s
Mathlib.Order.Category.HeytAlg,0m1.627s,0m1.583s
Mathlib.Algebra.MonoidAlgebra.Defs,0m4.753s,0m4.698s
Mathlib.Order.LiminfLimsup,0m2.910s,0m2.819s
Mathlib.CategoryTheory.Bicategory.Kan.IsKan,0m1.583s,0m1.563s
Mathlib.Combinatorics.SimpleGraph.Walks.Maps,0m1.794s,0m1.784s
Mathlib.Algebra.Order.Archimedean.Basic,0m3.628s,0m3.654s
Mathlib.Computability.Halting,0m1.813s,0m1.797s
Mathlib.CategoryTheory.Localization.Quotient,0m1.293s,0m1.242s
Mathlib.CategoryTheory.Localization.Composition,0m1.366s,0m1.279s
Mathlib.CategoryTheory.Localization.HomEquiv,0m1.706s,0m1.683s
Mathlib.CategoryTheory.Localization.Resolution,0m2.317s,0m2.339s
Mathlib.Computability.Ackermann,0m2.470s,0m2.439s
Mathlib.Combinatorics.SimpleGraph.Subgraph,0m3.961s,0m3.716s
Mathlib.CategoryTheory.Localization.CalculusOfFractions,0m3.454s,0m3.350s
Mathlib.Algebra.BigOperators.Ring.Nat,0m1.844s,0m1.783s
Mathlib.Combinatorics.Additive.RuzsaCovering,0m1.887s,0m1.903s
Mathlib.Data.Finite.Perm,0m1.385s,0m1.388s
Mathlib.GroupTheory.Coset.Card,0m2.462s,0m2.541s
Mathlib.Data.Fintype.Units,0m1.365s,0m1.394s
Mathlib.Data.Finite.Card,0m1.484s,0m1.494s
Mathlib.Algebra.GroupWithZero.Pointwise.Set.Card,0m1.397s,0m1.399s
Mathlib.Algebra.DirectSum.AddChar,0m1.382s,0m1.382s
Mathlib.GroupTheory.GroupAction.SubMulAction.OfStabilizer,0m3.677s,0m3.626s
Mathlib.Topology.UniformSpace.OfFun,0m1.396s,0m1.364s
Mathlib.Topology.Maps.OpenQuotient,0m1.388s,0m1.397s
Mathlib.Algebra.Category.Grp.Zero,0m1.383s,0m1.376s
Mathlib.Topology.Homeomorph.Defs,0m2.000s,0m2.006s
Mathlib.CategoryTheory.Localization.Trifunctor,0m5.099s,0m4.703s
Mathlib.CategoryTheory.Limits.Elements,0m1.491s,0m1.497s
Mathlib.CategoryTheory.Limits.Preserves.Ulift,0m1.263s,0m1.274s
Mathlib.Data.Set.Card,0m4.221s,0m4.154s
Mathlib.Algebra.DirectSum.Ring,0m4.273s,0m4.148s
Mathlib.CategoryTheory.Adjunction.Limits,0m3.010s,0m2.739s
Mathlib.Algebra.Category.MonCat.Limits,0m3.586s,0m3.298s
Mathlib.SetTheory.Ordinal.Rank,0m1.477s,0m1.402s
Mathlib.CategoryTheory.Limits.FunctorCategory.Basic,0m4.187s,0m4.048s
Mathlib.SetTheory.Nimber.Basic,0m3.133s,0m3.146s
Mathlib.SetTheory.Ordinal.Enum,0m1.492s,0m1.576s
Mathlib.Data.ENat.BigOperators,0m1.403s,0m1.397s
Mathlib.SetTheory.Ordinal.Exponential,0m1.981s,0m1.976s
Mathlib.CategoryTheory.Comma.LocallySmall,0m1.251s,0m1.287s
Mathlib.ModelTheory.Semantics,0m3.938s,0m4.168s
Mathlib.CategoryTheory.LiftingProperties.Over,0m1.369s,0m1.297s
Mathlib.Data.Nat.PartENat,0m2.209s,0m2.072s
Mathlib.CategoryTheory.Comma.Over.OverClass,0m1.709s,0m1.692s
Mathlib.Data.Nat.Factorial.NatCast,0m1.480s,0m1.582s
Mathlib.SetTheory.Ordinal.NaturalOps,0m4.965s,0m4.989s
Mathlib.CategoryTheory.Monoidal.Skeleton,0m1.399s,0m1.381s
Mathlib.CategoryTheory.Monoidal.Braided.Transport,0m1.594s,0m1.473s
Mathlib.CategoryTheory.Comma.Presheaf.Basic,0m4.382s,0m4.058s
Mathlib.CategoryTheory.MorphismProperty.Comma,0m4.065s,0m4.057s
Mathlib.CategoryTheory.Grothendieck,0m5.079s,0m4.921s
Mathlib.CategoryTheory.Monoidal.Braided.Opposite,0m1.387s,0m1.385s
Mathlib.CategoryTheory.Monoidal.Braided.Multifunctor,0m3.636s,0m3.035s
Mathlib.Data.Nat.Nth,0m1.875s,0m1.810s
Mathlib.CategoryTheory.Monoidal.Center,0m3.857s,0m3.548s
Mathlib.Order.WellQuasiOrder,0m1.429s,0m1.377s
Mathlib.Algebra.Order.PartialSups,0m1.171s,0m1.178s
Mathlib.CategoryTheory.Monoidal.FunctorCategory,0m4.098s,0m4.176s
Mathlib.CategoryTheory.Limits.Shapes.BinaryProducts,0m6.849s,0m6.850s
Mathlib.CategoryTheory.EffectiveEpi.Enough,0m1.297s,0m1.298s
Mathlib.CategoryTheory.Groupoid.FreeGroupoidOfCategory,0m2.072s,0m2.120s
Mathlib.Order.RelSeries,0m4.378s,0m4.291s
Mathlib.CategoryTheory.EffectiveEpi.Comp,0m1.488s,0m1.490s
Mathlib.Order.CompactlyGenerated.Basic,0m2.508s,0m2.493s
Mathlib.Algebra.Order.Disjointed,0m1.370s,0m1.389s
Mathlib.Data.Fin.Tuple.BubbleSortInduction,0m1.403s,0m1.374s
Mathlib.Algebra.Order.BigOperators.Group.LocallyFinite,0m1.875s,0m1.894s
Mathlib.MeasureTheory.PiSystem,0m2.196s,0m2.182s
Mathlib.Algebra.Field.Action.ConjAct,0m1.294s,0m1.360s
Mathlib.MeasureTheory.MeasurableSpace.Constructions,0m2.704s,0m2.709s
Mathlib.CategoryTheory.Monoidal.Mon_,0m9.161s,0m9.203s
Mathlib.Data.QPF.Multivariate.Constructions.Comp,0m1.374s,0m1.370s
Mathlib.Combinatorics.SetFamily.Shadow,0m3.584s,0m3.641s
Mathlib.RingTheory.UniqueFactorizationDomain.NormalizedFactors,0m2.014s,0m1.990s
Mathlib.Data.QPF.Multivariate.Constructions.Sigma,0m1.393s,0m1.397s
Mathlib.Data.QPF.Multivariate.Constructions.Const,0m1.283s,0m1.272s
Mathlib.Data.QPF.Multivariate.Constructions.Prj,0m1.270s,0m1.288s
Mathlib.Combinatorics.SetFamily.FourFunctions,0m3.757s,0m3.736s
Mathlib.Data.QPF.Multivariate.Constructions.Quot,0m1.301s,0m1.276s
Mathlib.RingTheory.UniqueFactorizationDomain.FactorSet,0m2.515s,0m2.560s
Mathlib.GroupTheory.Solvable,0m1.783s,0m1.802s
Mathlib.RingTheory.TwoSidedIdeal.BigOperators,0m1.296s,0m1.372s
Mathlib.Algebra.BigOperators.Fin,0m5.138s,0m5.136s
Mathlib.Data.QPF.Multivariate.Constructions.Fix,0m1.580s,0m1.619s
Mathlib.Algebra.Group.Ideal,0m1.786s,0m1.696s
Mathlib.RingTheory.TwoSidedIdeal.Instances,0m1.190s,0m1.178s
Mathlib.Data.QPF.Multivariate.Constructions.Cofix,0m2.325s,0m2.312s
Mathlib.Algebra.Module.Submodule.Basic,0m1.593s,0m1.568s
Mathlib.RingTheory.TwoSidedIdeal.Lattice,0m1.794s,0m1.799s
Mathlib.Algebra.Module.Submodule.Order,0m1.290s,0m1.180s
Mathlib.GroupTheory.FreeAbelianGroup,0m3.375s,0m3.343s
Mathlib.RingTheory.Ideal.Defs,0m1.495s,0m1.506s
Mathlib.Algebra.Module.Submodule.Lattice,0m2.741s,0m2.599s
Mathlib.LinearAlgebra.Quotient.Defs,0m2.091s,0m2.174s
Mathlib.Algebra.Module.Submodule.LinearMap,0m2.392s,0m2.402s
Mathlib.Algebra.ContinuedFractions.Computation.TerminatesIffRat,0m1.713s,0m1.708s
Mathlib.CategoryTheory.WithTerminal.FinCategory,0m1.364s,0m1.369s
Mathlib.CategoryTheory.WithTerminal,0m1.208s,0m1.168s
Mathlib.LinearAlgebra.Finsupp.SumProd,0m1.582s,0m1.570s
Mathlib.Data.Finsupp.Interval,0m1.613s,0m1.578s
Mathlib.Data.Finsupp.ToDFinsupp,0m1.866s,0m1.886s
Mathlib.Data.Finsupp.Antidiagonal,0m1.504s,0m1.519s
Mathlib.Data.Nat.Factorization.Defs,0m1.806s,0m1.911s
Mathlib.Topology.Category.Born,0m1.267s,0m1.390s
Mathlib.Topology.Order.Bornology,0m1.361s,0m1.370s
Mathlib.Algebra.MonoidAlgebra.Division,0m1.792s,0m1.696s
Mathlib.LinearAlgebra.Finsupp.Defs,0m3.242s,0m3.222s
Mathlib.Algebra.MonoidAlgebra.Opposite,0m2.011s,0m2.015s
Mathlib.Algebra.MonoidAlgebra.Lift,0m1.880s,0m1.811s
Mathlib.Order.Category.BoolAlg,0m2.444s,0m2.390s
Mathlib.Combinatorics.SimpleGraph.Walks.Subwalks,0m1.888s,0m1.785s
Mathlib.Algebra.Order.Archimedean.IndicatorCard,0m1.608s,0m1.493s
Mathlib.CategoryTheory.Bicategory.Kan.HasKan,0m2.020s,0m2.073s
Mathlib.Topology.Algebra.InfiniteSum.SummationFilter,0m2.914s,0m2.921s
Mathlib.GroupTheory.Archimedean,0m1.810s,0m1.894s
Mathlib.CategoryTheory.WithTerminal.Cone,0m6.249s,0m5.250s
Mathlib.Algebra.Order.Archimedean.Submonoid,0m1.296s,0m1.283s
Mathlib.Algebra.Order.Archimedean.Hom,0m1.483s,0m1.487s
Mathlib.Order.Filter.AtTopBot.Archimedean,0m1.989s,0m1.871s
Mathlib.CategoryTheory.Localization.StructuredArrow,0m1.490s,0m1.486s
Mathlib.Data.Real.Archimedean,0m2.425s,0m2.319s
Mathlib.Computability.Reduce,0m1.769s,0m1.801s
Mathlib.Algebra.AddConstMap.Basic,0m3.456s,0m3.427s
Mathlib.CategoryTheory.Localization.CalculusOfFractions.OfAdjunction,0m1.264s,0m1.299s
Mathlib.Computability.TMConfig,0m2.920s,0m2.916s
Mathlib.CategoryTheory.Localization.SmallHom,0m1.986s,0m1.981s
Mathlib.CategoryTheory.Localization.CalculusOfFractions.ComposableArrows,0m1.406s,0m1.294s
Mathlib.Algebra.Group.ConjFinite,0m1.403s,0m1.418s
Mathlib.GroupTheory.Abelianization.Finite,0m1.390s,0m1.413s
Mathlib.CategoryTheory.Localization.CalculusOfFractions.Fractions,0m1.567s,0m1.591s
Mathlib.Combinatorics.SimpleGraph.Operations,0m2.915s,0m2.919s
Mathlib.Algebra.Order.Archimedean.Class,0m5.267s,0m5.496s
Mathlib.Combinatorics.SimpleGraph.Copy,0m2.956s,0m2.857s
Mathlib.Topology.Homeomorph.TransferInstance,0m1.275s,0m1.275s
Mathlib.Topology.UniformSpace.AbsoluteValue,0m1.513s,0m1.377s
Mathlib.Algebra.Group.Subgroup.Finite,0m2.099s,0m1.985s
Mathlib.SetTheory.Cardinal.Embedding,0m1.495s,0m1.506s
Mathlib.Data.Setoid.Partition.Card,0m1.550s,0m1.491s
Mathlib.Order.Height,0m2.007s,0m1.996s
Mathlib.SetTheory.Cardinal.NatCount,0m1.369s,0m1.386s
Mathlib.CategoryTheory.Localization.Monoidal.Functor,0m3.065s,0m2.839s
Mathlib.Algebra.Group.Pointwise.Set.Card,0m2.110s,0m2.084s
Mathlib.Topology.Constructions.SumProd,0m3.112s,0m3.029s
Mathlib.GroupTheory.Perm.DomMulAct,0m1.703s,0m1.697s
Mathlib.CategoryTheory.Limits.Skeleton,0m1.296s,0m1.186s
Mathlib.Combinatorics.Matroid.Basic,0m2.614s,0m2.611s
Mathlib.CategoryTheory.Limits.Shapes.Equivalence,0m1.278s,0m1.257s
Mathlib.Order.Extension.Well,0m1.366s,0m1.365s
Mathlib.CategoryTheory.Localization.Monoidal.Basic,0m4.309s,0m4.156s
Mathlib.SetTheory.ZFC.Rank,0m1.586s,0m1.572s
Mathlib.CategoryTheory.Monoidal.Limits.Preserves,0m1.256s,0m1.260s
Mathlib.CategoryTheory.Monoidal.Closed.Basic,0m2.535s,0m2.522s
Mathlib.CategoryTheory.Monad.Limits,0m3.194s,0m3.147s
Mathlib.CategoryTheory.Limits.FunctorToTypes,0m1.287s,0m1.195s
Mathlib.CategoryTheory.Limits.FunctorCategory.Shapes.Products,0m1.478s,0m1.381s
Mathlib.CategoryTheory.Limits.ColimitLimit,0m1.605s,0m1.696s
Mathlib.CategoryTheory.Limits.Yoneda,0m1.690s,0m1.810s
Mathlib.SetTheory.Ordinal.CantorNormalForm,0m1.585s,0m1.593s
Mathlib.SetTheory.Ordinal.FixedPoint,0m1.689s,0m1.710s
Mathlib.ModelTheory.Algebra.Ring.Basic,0m1.940s,0m2.014s
Mathlib.ModelTheory.Quotients,0m1.394s,0m1.392s
Mathlib.Tactic.NormNum.Ordinal,0m2.219s,0m2.116s
Mathlib.ModelTheory.Arithmetic.Presburger.Basic,0m1.511s,0m1.481s
Mathlib.SetTheory.Cardinal.Aleph,0m2.499s,0m2.410s
Mathlib.ModelTheory.Definability,0m1.774s,0m1.767s
Mathlib.CategoryTheory.Action.Basic,0m4.591s,0m4.642s
Mathlib.Data.Nat.Prime.Nth,0m1.280s,0m1.280s
Mathlib.SetTheory.Game.Ordinal,0m2.229s,0m2.308s
Mathlib.CategoryTheory.Monoidal.Limits.Basic,0m1.547s,0m1.467s
Mathlib.CategoryTheory.Comma.StructuredArrow.Functor,0m2.645s,0m2.292s
Mathlib.Order.WellFoundedSet,0m2.505s,0m2.533s
