module,normal_time,skipkernel_time
Mathlib.Logic.Nonempty,0m0.908s,0m0.766s
Mathlib.Logic.ExistsUnique,0m1.046s,0m0.967s
Mathlib.Logic.Nontrivial.Defs,0m0.794s,0m0.761s
Mathlib.Logic.Function.Defs,0m0.891s,0m0.882s
Mathlib.Data.Option.Defs,0m0.775s,0m0.783s
Mathlib.Data.Ordering.Basic,0m0.790s,0m0.775s
Mathlib.Data.Int.Init,0m1.704s,0m1.578s
Mathlib.Tactic.DeprecateTo,0m1.214s,0m1.065s
Mathlib.Tactic.ApplyAt,0m0.901s,0m0.922s
Mathlib.Tactic.Find,0m1.286s,0m1.179s
Mathlib.Tactic.GuardGoalNums,0m0.788s,0m0.772s
Mathlib.Tactic.GuardHypNums,0m0.782s,0m0.671s
Mathlib.Tactic.Basic,0m1.426s,0m1.304s
Mathlib.Tactic.InferParam,0m0.796s,0m0.773s
Mathlib.Tactic.HigherOrder,0m1.113s,0m0.973s
Mathlib.Util.Delaborators,0m3.989s,0m3.887s
Mathlib.Util.TermReduce,0m0.995s,0m0.895s
Mathlib.Tactic.Linter.HaveLetLinter,0m0.901s,0m0.863s
Mathlib.Tactic.Linter.DeprecatedModule,0m1.100s,0m0.969s
Mathlib.Tactic.Linter.PPRoundtrip,0m0.890s,0m0.867s
Mathlib.Tactic.Linter.MinImports,0m1.112s,0m0.975s
Mathlib.Tactic.FunProp.FunctionData,0m1.408s,0m1.290s
Mathlib.Lean.Meta.RefinedDiscrTree.Encode,0m1.198s,0m1.049s
Mathlib.Logic.Relator,0m0.915s,0m0.863s
Mathlib.Tactic.NthRewrite,0m0.801s,0m0.764s
Mathlib.Lean.Meta.RefinedDiscrTree.Initialize,0m1.339s,0m1.194s
Mathlib.Tactic.FBinop,0m1.544s,0m1.367s
Mathlib.Tactic.Relation.Rfl,0m0.803s,0m0.753s
Mathlib.Tactic.Observe,0m1.006s,0m0.865s
Mathlib.Tactic.Recover,0m1.008s,0m0.847s
Mathlib.Tactic.Rename,0m0.924s,0m0.763s
Mathlib.Tactic.RenameBVar,0m0.906s,0m0.858s
Mathlib.Tactic.SuccessIfFailWithMsg,0m0.902s,0m0.759s
Mathlib.Tactic.ToLevel,0m0.803s,0m0.756s
Mathlib.Tactic.SimpIntro,0m1.005s,0m0.962s
Mathlib.Tactic.SudoSetOption,0m0.891s,0m0.766s
Mathlib.Tactic.SwapVar,0m0.884s,0m0.745s
Mathlib.Tactic.Trace,0m0.807s,0m0.765s
Mathlib.Tactic.TypeCheck,0m0.824s,0m0.760s
Mathlib.Tactic.UnsetOption,0m0.789s,0m0.767s
Mathlib.Tactic.Widget.SelectInsertParamsClass,0m0.778s,0m0.775s
Mathlib.Tactic.RSuffices,0m1.021s,0m0.877s
Mathlib.Tactic.Says,0m1.727s,0m1.686s
Mathlib.Tactic.Variable,0m1.701s,0m1.648s
Mathlib.Data.Nat.Init,0m1.831s,0m1.666s
Mathlib.Logic.Basic,0m3.209s,0m2.949s
Mathlib.Tactic.Linter.UpstreamableDecl,0m0.905s,0m0.885s
Mathlib.Tactic.Lift,0m1.745s,0m1.603s
Mathlib.Tactic.DefEqTransformations,0m1.642s,0m1.495s
Mathlib.Data.SProd,0m0.788s,0m0.772s
Mathlib.Tactic.FunProp.Types,0m1.221s,0m1.206s
Mathlib.Tactic.Linter,0m0.799s,0m0.673s
Mathlib.Lean.Meta.RefinedDiscrTree.Lookup,0m1.314s,0m1.156s
Mathlib.Tactic.Hint,0m3.357s,0m3.318s
Mathlib.Util.Notation3,0m5.102s,0m4.765s
Mathlib.Tactic.Subsingleton,0m1.430s,0m1.301s
Mathlib.Tactic.GCongr.ForwardAttr,0m2.434s,0m2.307s
Mathlib.Lean.Meta.RefinedDiscrTree,0m0.904s,0m0.874s
Mathlib.Tactic.Simps.Basic,0m3.627s,0m3.542s
Mathlib.Lean.GoalsLocation,0m0.802s,0m0.814s
Mathlib.Lean.Meta.KAbstractPositions,0m0.881s,0m0.890s
Mathlib.Lean.Meta,0m8.006s,0m7.726s
Mathlib.Tactic.Push,0m2.255s,0m2.109s
Mathlib.Util.TransImports,0m0.814s,0m0.778s
Mathlib.Tactic.WLOG,0m0.996s,0m0.996s
Mathlib.Util.PrintSorries,0m0.996s,0m0.993s
Mathlib.Tactic.FunProp.Theorems,0m1.615s,0m1.580s
Mathlib.Lean.Elab.Tactic.Basic,0m0.813s,0m0.783s
Mathlib.Util.CountHeartbeats,0m1.420s,0m1.292s
Mathlib.Tactic.ByContra,0m1.112s,0m1.111s
Mathlib.Tactic.ByCases,0m1.425s,0m1.311s
Mathlib.Tactic.Contrapose,0m1.291s,0m1.199s
Mathlib.Tactic.FunProp.Attr,0m1.005s,0m0.996s
Mathlib.Tactic.MkIffOfInductiveProp,0m1.410s,0m1.382s
Mathlib.Tactic.Widget.SelectPanelUtils,0m1.321s,0m1.308s
Mathlib.Tactic.Tauto,0m2.032s,0m1.922s
Mathlib.Tactic.Widget.InteractiveUnfold,0m1.175s,0m1.179s
Mathlib.Tactic.Widget.Conv,0m0.999s,0m0.974s
Mathlib.Tactic.FunProp.Core,0m3.592s,0m3.468s
Mathlib.Tactic.Widget.Calc,0m1.200s,0m1.182s
Mathlib.Tactic.Translate.Core,0m4.441s,0m4.416s
Mathlib.Tactic.StacksAttribute,0m1.006s,0m1.007s
Mathlib.Data.List.TFAE,0m0.774s,0m0.770s
Mathlib.Tactic.FastInstance,0m1.198s,0m1.196s
Mathlib.Tactic.FunProp.Elab,0m1.512s,0m1.407s
Mathlib.Util.AtomM,0m1.116s,0m1.072s
Mathlib.Data.Bracket,0m0.793s,0m0.782s
Mathlib.Logic.OpClass,0m0.777s,0m0.771s
Mathlib.Order.Bounds.Defs,0m0.799s,0m0.768s
Mathlib.Tactic.Bound.Init,0m2.107s,0m1.875s
Mathlib.Tactic.Widget.LibraryRewrite,0m2.159s,0m2.106s
Mathlib.Tactic.HaveI,0m0.785s,0m0.772s
Mathlib.Lean.Expr.Rat,0m0.803s,0m0.773s
Mathlib.Data.Option.NAry,0m0.989s,0m0.991s
Mathlib.Tactic.TryThis,0m0.794s,0m0.768s
Mathlib.Data.Ineq,0m0.798s,0m0.793s
Mathlib.Tactic.FieldSimp.Attr,0m0.778s,0m0.771s
Mathlib.Util.Qq,0m1.007s,0m0.982s
Mathlib.Control.Basic,0m0.990s,0m0.870s
Mathlib.Util.DischargerAsTactic,0m0.783s,0m0.780s
Mathlib.Data.List.Monad,0m0.802s,0m0.773s
Mathlib.Data.PNat.Notation,0m0.807s,0m0.793s
Mathlib.Control.Functor,0m0.989s,0m0.865s
Mathlib.Lean.Meta.Tactic.Rewrite,0m0.801s,0m0.781s
Mathlib.Util.SynthesizeUsing,0m0.999s,0m0.989s
Mathlib.Data.Tree.Basic,0m0.901s,0m0.872s
Mathlib.Tactic.Linarith.Oracle.SimplexAlgorithm.Datatypes,0m0.913s,0m0.891s
Mathlib.Util.ElabWithoutMVars,0m0.827s,0m0.781s
Mathlib.Data.Int.Cast.Pi,0m0.794s,0m0.795s
Mathlib.Control.ULift,0m0.779s,0m0.770s
Mathlib.Data.Int.DivMod,0m0.801s,0m0.783s
Mathlib.Tactic.Translate.ToAdditive,0m1.200s,0m1.228s
Mathlib.Tactic.Translate.ToDual,0m1.240s,0m1.202s
Mathlib.Util.AtomM.Recurse,0m1.087s,0m1.101s
Mathlib.Tactic.FunProp,0m0.917s,0m0.921s
Mathlib.Data.Rat.Init,0m0.992s,0m0.997s
Mathlib.Tactic.Linarith.Oracle.SimplexAlgorithm.Gauss,0m0.896s,0m0.893s
Mathlib.Tactic.Linarith.Oracle.SimplexAlgorithm.SimplexAlgorithm,0m0.989s,0m0.998s
Mathlib.Tactic.ToDual,0m1.009s,0m1.004s
Mathlib.Data.List.Defs,0m1.291s,0m1.174s
Mathlib.Logic.Function.CompTypeclasses,0m0.794s,0m0.785s
Mathlib.Control.Traversable.Basic,0m0.991s,0m0.995s
Mathlib.CategoryTheory.ConcreteCategory.Bundled,0m0.798s,0m0.802s
Mathlib.Tactic.ToAdditive,0m1.010s,0m1.025s
Mathlib.Tactic.SuppressCompilation,0m1.194s,0m1.198s
Mathlib.Tactic.TFAE,0m2.660s,0m2.580s
