rank,module,normal_time,skipkernel_time,time_diff,pct_diff
6358,Mathlib.Algebra.Order.Monoid.LocallyFiniteOrder,4.13,4.35,-0.22,-5.2
6359,Mathlib.Tactic.NormNum.RealSqrt,2.33,2.46,-0.13,-5.2
6360,Mathlib.Data.Rat.BigOperators,1.37,1.45,-0.07,-5.2
6361,Mathlib.Order.Interval.Set.Basic,2.19,2.31,-0.12,-5.2
6362,Mathlib.RingTheory.Extension.Basic,13.43,14.16,-0.73,-5.2
6363,Mathlib.Algebra.Polynomial.Inductions,2.04,2.15,-0.11,-5.2
6364,Mathlib.CategoryTheory.Limits.Preserves.Bifunctor,4.18,4.41,-0.23,-5.2
6365,Mathlib.Algebra.Group.Submonoid.Basic,2.02,2.13,-0.11,-5.2
6366,Mathlib.FieldTheory.Minpoly.MinpolyDiv,2.71,2.86,-0.15,-5.2
6367,Mathlib.RingTheory.Spectrum.Prime.Jacobson,2.00,2.11,-0.11,-5.2
6368,Mathlib.AlgebraicGeometry.Sites.Etale,2.22,2.34,-0.12,-5.2
6369,Mathlib.Algebra.DirectSum.Basic,3.10,3.27,-0.17,-5.2
6370,Mathlib.Condensed.Light.Module,2.65,2.79,-0.15,-5.2
6371,Mathlib.Data.Fin.Tuple.Embedding,1.31,1.38,-0.07,-5.2
6372,Mathlib.SetTheory.Ordinal.Arithmetic,3.44,3.63,-0.19,-5.2
6373,Mathlib.CategoryTheory.Bicategory.FunctorBicategory.Oplax,2.41,2.54,-0.13,-5.2
6374,Mathlib.Algebra.Category.ModuleCat.EpiMono,1.70,1.79,-0.09,-5.2
6375,Mathlib.CategoryTheory.Products.Basic,3.53,3.72,-0.19,-5.2
6376,Mathlib.Analysis.Normed.Algebra.Ultra,1.70,1.79,-0.09,-5.2
6377,Mathlib.Std.Data.HashMap,0.76,0.80,-0.04,-5.2
6378,Mathlib.Tactic.Sat.FromLRAT,1.84,1.94,-0.10,-5.2
6379,Mathlib.Data.Fintype.Defs,1.84,1.94,-0.10,-5.3
6380,Mathlib.CategoryTheory.Category.Bipointed,1.60,1.69,-0.09,-5.3
6381,Mathlib.Data.Sym.Sym2,3.81,4.02,-0.21,-5.3
6382,Mathlib.Analysis.Calculus.ContDiff.RCLike,2.69,2.85,-0.15,-5.3
6383,Mathlib.Analysis.SpecialFunctions.Trigonometric.ComplexDeriv,2.10,2.22,-0.12,-5.3
6384,Mathlib.MeasureTheory.Measure.LogLikelihoodRatio,2.50,2.63,-0.14,-5.3
6385,Mathlib.CategoryTheory.IsConnected,1.75,1.85,-0.10,-5.3
6386,Mathlib.Analysis.Normed.Group.Completeness,1.80,1.90,-0.10,-5.3
6387,Mathlib.Data.Finset.Sum,1.91,2.02,-0.11,-5.3
6388,Mathlib.Algebra.Order.AbsoluteValue.Euclidean,1.30,1.37,-0.07,-5.3
6389,Mathlib.CategoryTheory.Monad.Equalizer,1.59,1.68,-0.09,-5.3
6390,Mathlib.SetTheory.Ordinal.Enum,1.49,1.58,-0.08,-5.3
6391,Mathlib.Combinatorics.Additive.Corner.Roth,4.24,4.48,-0.24,-5.3
6392,Mathlib.AlgebraicGeometry.EllipticCurve.Group,1.82,1.93,-0.10,-5.3
6393,Mathlib.Analysis.Analytic.IteratedFDeriv,4.99,5.27,-0.28,-5.3
6394,Mathlib.Topology.Algebra.ProperConstSMul,1.52,1.61,-0.09,-5.3
6395,Mathlib.AlgebraicTopology.DoldKan.Faces,2.74,2.90,-0.15,-5.4
6396,Mathlib.Algebra.Group.TransferInstance,1.63,1.72,-0.09,-5.4
6397,Mathlib.Condensed.Light.InternallyProjective,2.83,2.99,-0.16,-5.4
6398,Mathlib.Topology.Algebra.Group.GroupTopology,1.80,1.90,-0.10,-5.4
6399,Mathlib.Analysis.Calculus.IteratedDeriv.Lemmas,3.41,3.60,-0.19,-5.4
6400,Mathlib.Algebra.Module.Submodule.Defs,2.51,2.65,-0.14,-5.4
6401,Mathlib.CategoryTheory.Limits.ColimitLimit,1.60,1.70,-0.09,-5.4
6402,Mathlib.Tactic.NoncommRing,1.41,1.49,-0.08,-5.4
6403,Mathlib.Tactic.CategoryTheory.Coherence.Normalize,2.04,2.16,-0.12,-5.4
6404,Mathlib.Logic.Embedding.Set,1.50,1.58,-0.08,-5.4
6405,Mathlib.Order.ScottContinuity,1.14,1.21,-0.07,-5.4
6406,Mathlib.Analysis.Calculus.AddTorsor.Coord,2.31,2.44,-0.13,-5.4
6407,Mathlib.Analysis.Calculus.MeanValue,5.36,5.67,-0.30,-5.4
6408,Mathlib.Data.PNat.Basic,1.60,1.69,-0.09,-5.4
6409,Mathlib.Data.Int.AbsoluteValue,1.30,1.37,-0.07,-5.4
6410,Mathlib.RingTheory.Coprime.Basic,1.89,2.00,-0.11,-5.4
6411,Mathlib.Analysis.SpecialFunctions.Log.Deriv,5.90,6.24,-0.34,-5.4
6412,Mathlib.LinearAlgebra.RootSystem.Irreducible,3.35,3.54,-0.19,-5.4
6413,Mathlib.Algebra.Order.Field.Pi,1.38,1.46,-0.08,-5.4
6414,Mathlib.Topology.Connected.PathConnected,2.54,2.68,-0.15,-5.4
6415,Mathlib.Data.Pi.Interval,1.42,1.50,-0.08,-5.4
6416,Mathlib.Computability.Partrec,2.38,2.51,-0.14,-5.4
6417,Mathlib.Algebra.Order.Ring.Idempotent,2.03,2.14,-0.12,-5.4
6418,Mathlib.Tactic.NormNum.Inv,1.78,1.88,-0.10,-5.4
