rank,module,normal_time,skipkernel_time,time_diff,pct_diff
1,Mathlib.Algebra.Category.CommAlgCat.Monoidal,28.02,9.93,18.09,182.2
2,Mathlib.Analysis.Complex.UpperHalfPlane.Metric,7.39,3.24,4.15,128.0
3,Mathlib.FieldTheory.CardinalEmb,20.71,10.10,10.61,105.0
4,Mathlib.LinearAlgebra.TensorProduct.Associator,9.71,4.78,4.93,103.1
5,Mathlib.RingTheory.Kaehler.Polynomial,16.88,8.93,7.95,89.0
6,Mathlib.CategoryTheory.Functor.Derived.PointwiseRightDerived,2.83,1.61,1.23,76.4
7,Mathlib.Algebra.Category.BialgCat.Monoidal,8.83,5.03,3.80,75.6
8,Mathlib.Algebra.Category.ModuleCat.Monoidal.Basic,8.22,4.70,3.52,74.9
9,Mathlib.RingTheory.Kaehler.JacobiZariski,16.07,9.38,6.68,71.2
10,Mathlib.LinearAlgebra.CliffordAlgebra.Grading,6.09,3.61,2.48,68.8
11,Mathlib.Topology.Algebra.Constructions.DomMulAct,2.62,1.56,1.06,68.2
12,Mathlib.Algebra.Category.ModuleCat.Sheaf.Colimits,4.14,2.56,1.57,61.4
13,Mathlib.Algebra.Category.CoalgCat.ComonEquivalence,6.61,4.24,2.37,56.0
14,Mathlib.LinearAlgebra.RootSystem.OfBilinear,4.73,3.06,1.67,54.5
15,Mathlib.Algebra.Category.CommBialgCat,12.00,7.87,4.13,52.5
16,Mathlib.LinearAlgebra.Eigenspace.Triangularizable,4.76,3.27,1.49,45.5
17,Mathlib.Analysis.NormedSpace.SphereNormEquiv,2.28,1.59,0.69,43.6
18,Mathlib.Algebra.Category.Ring.Adjunctions,4.78,3.34,1.44,43.1
19,Mathlib.Algebra.Category.ModuleCat.Presheaf.Free,3.44,2.42,1.03,42.5
20,Mathlib.Algebra.Category.ContinuousCohomology.Basic,20.28,14.26,6.02,42.2
21,Mathlib.CategoryTheory.Monoidal.Internal.Module,5.68,4.00,1.67,41.8
22,Mathlib.Analysis.Normed.Group.CocompactMap,2.18,1.56,0.62,39.4
23,Mathlib.Topology.Maps.Proper.Basic,2.18,1.59,0.60,37.5
24,Mathlib.FieldTheory.PurelyInseparable.PerfectClosure,5.00,3.66,1.34,36.7
25,Mathlib.RingTheory.Presentation,2.29,1.68,0.61,36.0
26,Mathlib.Order.UpperLower.Hom,1.77,1.30,0.47,35.9
27,Mathlib.Data.Int.Order.Basic,1.35,0.99,0.36,35.9
28,Mathlib.AlgebraicGeometry.Morphisms.UniversallyClosed,4.24,3.13,1.11,35.5
29,Mathlib.CategoryTheory.Limits.Preserves.Over,2.00,1.47,0.52,35.5
30,Mathlib.Algebra.Category.ModuleCat.Presheaf.Pushforward,6.04,4.47,1.57,35.0
31,Mathlib.Lean.Elab.Tactic.Meta,1.05,0.79,0.27,34.3
32,Mathlib.Algebra.Group.Subsemigroup.Operations,4.70,3.54,1.16,32.9
33,Mathlib.RingTheory.WittVector.Complete,2.79,2.11,0.68,32.3
34,Mathlib.Algebra.Category.ModuleCat.Presheaf.ChangeOfRings,3.25,2.46,0.79,32.1
35,Mathlib.LinearAlgebra.TensorProduct.Opposite,3.31,2.52,0.79,31.5
36,Mathlib.Tactic.Linter.Style,2.13,1.62,0.51,31.2
37,Mathlib.Analysis.Asymptotics.Completion,2.35,1.79,0.56,31.1
38,Mathlib.MeasureTheory.Measure.Real,3.44,2.63,0.81,30.6
39,Mathlib.Tactic.DeclarationNames,0.85,0.66,0.19,29.8
40,Mathlib.Algebra.Star.Pointwise,1.77,1.37,0.40,29.3
41,Mathlib.Data.Nat.Notation,0.84,0.65,0.19,28.8
42,Mathlib.Analysis.CStarAlgebra.Projection,3.04,2.37,0.67,28.3
43,Mathlib.Topology.MetricSpace.PartitionOfUnity,2.58,2.01,0.57,28.3
44,Mathlib.Tactic.Linter.Multigoal,1.11,0.87,0.24,28.0
45,Mathlib.LinearAlgebra.QuadraticForm.Basis,3.35,2.62,0.73,28.0
46,Mathlib.Data.Finsupp.Lex,2.31,1.80,0.50,27.8
47,Mathlib.Algebra.Category.Ring.FilteredColimits,3.99,3.12,0.87,27.8
48,Mathlib.Util.WhatsNew,1.10,0.86,0.24,27.8
49,Mathlib.CategoryTheory.Limits.Shapes.Countable,1.89,1.48,0.41,27.6
50,Mathlib.Algebra.Notation.Pi.Basic,1.53,1.20,0.33,27.3
51,Mathlib.Analysis.Convex.EGauge,4.19,3.29,0.90,27.3
52,Mathlib.Topology.KrullDimension,1.76,1.38,0.38,27.2
53,Mathlib.SetTheory.Ordinal.Family,3.05,2.40,0.65,27.2
54,Mathlib.RingTheory.AlgebraicIndependent.TranscendenceBasis,7.00,5.50,1.50,27.2
55,Mathlib.RepresentationTheory.Invariants,5.98,4.70,1.28,27.1
56,Mathlib.RingTheory.Coalgebra.Convolution,4.26,3.35,0.91,27.1
57,Mathlib.Data.Nat.PrimeFin,1.92,1.51,0.41,26.9
58,Mathlib.Algebra.Order.Ring.Ordering.Basic,6.18,4.87,1.31,26.8
59,Mathlib.FieldTheory.SeparablyGenerated,9.17,7.24,1.93,26.6
60,Mathlib.Combinatorics.Enumerative.Catalan,2.93,2.32,0.62,26.6
61,Mathlib.Algebra.Category.Grp.Limits,4.62,3.65,0.97,26.6
62,Mathlib.Topology.Order.IsLUB,3.06,2.42,0.64,26.4
63,Mathlib.Algebra.Lie.Sl2,3.29,2.60,0.69,26.4
64,Mathlib.RingTheory.RingHom.FiniteType,4.72,3.74,0.98,26.3
65,Mathlib.Topology.QuasiSeparated,1.75,1.39,0.36,26.2
66,Mathlib.LinearAlgebra.QuadraticForm.TensorProduct,8.01,6.35,1.66,26.1
67,Mathlib.RingTheory.FractionalIdeal.Norm,4.78,3.80,0.98,25.8
68,Mathlib.Lean.ContextInfo,0.83,0.66,0.17,25.7
69,Mathlib.Tactic.Translate.GuessName,1.09,0.87,0.22,25.6
70,Mathlib.RingTheory.Localization.AsSubring,2.91,2.33,0.59,25.3
71,Mathlib.GroupTheory.SpecificGroups.Alternating.Centralizer,2.59,2.07,0.52,25.2
72,Mathlib.Probability.Martingale.Convergence,3.67,2.93,0.74,25.2
73,Mathlib.Algebra.Category.ModuleCat.Sheaf.PullbackContinuous,5.51,4.41,1.09,24.8
74,Mathlib.Topology.Metrizable.CompletelyMetrizable,2.50,2.02,0.49,24.2
75,Mathlib.NumberTheory.DirichletCharacter.GaussSum,3.54,2.85,0.69,24.1
76,Mathlib.Algebra.Category.Ring.Limits,6.86,5.54,1.32,23.9
77,Mathlib.Analysis.Normed.Group.AddTorsor,2.46,1.99,0.47,23.8
78,Mathlib.Algebra.Category.HopfAlgCat.Monoidal,3.48,2.81,0.67,23.7
79,Mathlib.Topology.DiscreteSubset,2.34,1.90,0.45,23.5
80,Mathlib.Topology.Category.LightProfinite.AsLimit,2.58,2.09,0.49,23.4
81,Mathlib.CategoryTheory.Category.Cat.Limit,2.74,2.22,0.52,23.4
82,Mathlib.Tactic.TypeStar,0.81,0.66,0.15,23.0
83,Mathlib.Analysis.SpecialFunctions.Log.ENNRealLogExp,2.60,2.12,0.48,22.9
84,Mathlib.Algebra.Ring.Int.Parity,2.10,1.71,0.39,22.8
85,Mathlib.Data.Fin.Tuple.Finset,1.72,1.40,0.32,22.8
86,Mathlib.MeasureTheory.OuterMeasure.Caratheodory,2.45,2.00,0.45,22.6
87,Mathlib.CategoryTheory.Presentable.ColimitPresentation,3.66,2.98,0.67,22.6
88,Mathlib.Tactic.Lemma,0.80,0.65,0.15,22.5
89,Mathlib.Tactic.ToExpr,0.93,0.76,0.17,22.5
90,Mathlib.Data.Num.Prime,1.81,1.48,0.33,22.5
91,Mathlib.NumberTheory.LucasPrimality,2.05,1.68,0.38,22.4
92,Mathlib.LinearAlgebra.FiniteDimensional.Defs,2.67,2.19,0.48,22.1
93,Mathlib.RingTheory.RingHom.Unramified,3.07,2.52,0.55,21.8
94,Mathlib.Tactic.Substs,0.81,0.66,0.14,21.6
95,Mathlib.Tactic.Use,1.42,1.17,0.25,21.5
96,Mathlib.Algebra.Category.ModuleCat.Adjunctions,4.31,3.55,0.76,21.4
97,Mathlib.Algebra.Order.Monoid.Unbundled.Defs,1.82,1.50,0.32,21.4
98,Mathlib.Tactic.Linter.UnusedTactic,1.31,1.08,0.23,21.4
99,Mathlib.LinearAlgebra.Matrix.Basis,3.15,2.60,0.55,21.3
100,Mathlib.Algebra.Module.PID,4.65,3.83,0.81,21.3
101,Mathlib.RingTheory.AdicCompletion.Algebra,9.16,7.56,1.60,21.1
102,Mathlib.Tactic.Rename,0.92,0.76,0.16,21.1
103,Mathlib.Tactic.OfNat,0.80,0.66,0.14,21.1
104,Mathlib.Lean.Expr.ReplaceRec,0.80,0.66,0.14,21.1
105,Mathlib.Topology.Algebra.Algebra,4.48,3.70,0.78,21.1
106,Mathlib.Topology.MetricSpace.Holder,3.65,3.02,0.63,20.9
107,Mathlib.Tactic.TacticAnalysis.Declarations,1.96,1.62,0.34,20.9
108,Mathlib.Data.Int.Fib.Lemmas,1.94,1.60,0.33,20.8
109,Mathlib.Topology.Sheaves.SheafOfFunctions,1.93,1.60,0.33,20.6
110,Mathlib.CategoryTheory.Sites.Plus,4.62,3.84,0.79,20.5
111,Mathlib.CategoryTheory.Presentable.Adjunction,1.92,1.59,0.32,20.4
112,Mathlib.LinearAlgebra.TensorProduct.DirectLimit,3.83,3.18,0.65,20.4
113,Mathlib.Tactic.WithoutCDot,0.93,0.77,0.16,20.3
114,Mathlib.AlgebraicTopology.SimplicialObject.Basic,7.61,6.33,1.28,20.2
115,Mathlib.RingTheory.Extension.Presentation.Core,5.08,4.23,0.85,20.2
116,Mathlib.Algebra.Category.Grp.Biproducts,2.05,1.71,0.34,20.0
117,Mathlib.CategoryTheory.Monoidal.Braided.Multifunctor,3.64,3.04,0.60,19.8
118,Mathlib.Algebra.Category.ModuleCat.Sheaf.ChangeOfRings,2.53,2.11,0.42,19.8
119,Mathlib.Tactic.ApplyWith,0.79,0.66,0.13,19.6
120,Mathlib.LinearAlgebra.Matrix.Block,3.27,2.73,0.53,19.5
121,Mathlib.CategoryTheory.Sites.CompatiblePlus,4.49,3.76,0.73,19.5
122,Mathlib.Algebra.Category.ModuleCat.Presheaf.Colimits,3.94,3.30,0.64,19.4
123,Mathlib.NumberTheory.ModularForms.EisensteinSeries.Defs,4.86,4.07,0.78,19.2
124,Mathlib.NumberTheory.Bernoulli,6.21,5.22,1.00,19.2
125,Mathlib.CategoryTheory.WithTerminal.Cone,6.25,5.25,1.00,19.0
126,Mathlib.Tactic.Recover,1.01,0.85,0.16,19.0
127,Mathlib.Algebra.Homology.ShortComplex.Basic,3.56,3.00,0.57,19.0
128,Mathlib.CategoryTheory.Functor.KanExtension.DenseAt,1.74,1.46,0.28,19.0
129,Mathlib.Tactic.Linter.HashCommandLinter,1.04,0.88,0.17,18.9
130,Mathlib.RingTheory.LinearDisjoint,10.43,8.77,1.66,18.9
131,Mathlib.ModelTheory.Equivalence,2.47,2.08,0.39,18.9
132,Mathlib.Tactic.SuccessIfFailWithMsg,0.90,0.76,0.14,18.8
133,Mathlib.Topology.Homotopy.Affine,2.11,1.77,0.33,18.8
134,Mathlib.AlgebraicTopology.DoldKan.SplitSimplicialObject,3.02,2.54,0.48,18.8
135,Mathlib.Tactic.Linter.UnusedInstancesInType,1.02,0.86,0.16,18.8
136,Mathlib.Topology.ContinuousMap.Units,2.50,2.10,0.40,18.8
137,Mathlib.AlgebraicTopology.DoldKan.Normalized,2.62,2.20,0.41,18.8
138,Mathlib.RingTheory.LocalRing.ResidueField.Fiber,4.79,4.03,0.76,18.8
139,Mathlib.Tactic.Linter,0.80,0.67,0.13,18.7
140,Mathlib.Tactic.SwapVar,0.88,0.74,0.14,18.7
141,Mathlib.Algebra.Category.AlgCat.Monoidal,3.23,2.72,0.51,18.6
142,Mathlib.Logic.Nonempty,0.91,0.77,0.14,18.5
143,Mathlib.Tactic.FunProp.Mor,1.01,0.85,0.16,18.5
144,Mathlib.Algebra.Homology.DerivedCategory.Ext.ExactSequences,5.49,4.63,0.86,18.5
145,Mathlib.Util.AtLocation,0.91,0.77,0.14,18.5
146,Mathlib.Tactic.Inhabit,0.91,0.77,0.14,18.4
147,Mathlib.Analysis.SpecialFunctions.ContinuousFunctionalCalculus.PosPart.Basic,9.82,8.29,1.53,18.4
148,Mathlib.RingTheory.Flat.Stability,2.43,2.06,0.38,18.4
149,Mathlib.NumberTheory.LegendreSymbol.ZModChar,2.23,1.89,0.35,18.3
150,Mathlib.FieldTheory.IntermediateField.Algebraic,4.62,3.90,0.71,18.3
151,Mathlib.Algebra.Homology.HomotopyCategory.HomComplexSingle,2.49,2.10,0.38,18.3
152,Mathlib.LinearAlgebra.QuadraticForm.Isometry,2.71,2.29,0.42,18.3
153,Mathlib.Topology.Algebra.Module.Alternating.Topology,5.70,4.82,0.88,18.2
154,Mathlib.LinearAlgebra.Matrix.Symmetric,1.76,1.49,0.27,18.2
155,Mathlib.FieldTheory.PurelyInseparable.Tower,4.44,3.76,0.68,18.1
156,Mathlib.Dynamics.FixedPoints.Topology,1.51,1.28,0.23,18.1
157,Mathlib.LinearAlgebra.ExteriorAlgebra.Grading,5.19,4.39,0.79,18.1
158,Mathlib.Analysis.Normed.Algebra.TrivSqZeroExt,9.04,7.65,1.39,18.1
159,Mathlib.RingTheory.Algebraic.Pi,1.99,1.69,0.30,18.1
160,Mathlib.Topology.Filter,1.79,1.52,0.27,18.1
161,Mathlib.Tactic.ApplyCongr,0.90,0.76,0.14,18.1
162,Mathlib.Tactic.Simps.NotationClass,1.02,0.87,0.16,18.0
163,Mathlib.Algebra.Homology.Embedding.Basic,1.75,1.49,0.27,18.0
164,Mathlib.ModelTheory.DirectLimit,3.57,3.03,0.54,17.8
165,Mathlib.CategoryTheory.Action,2.35,2.00,0.35,17.8
166,Mathlib.Topology.Order.Category.FrameAdjunction,3.00,2.55,0.45,17.8
167,Mathlib.Analysis.InnerProductSpace.Basic,7.67,6.51,1.16,17.8
168,Mathlib.Topology.UrysohnsLemma,2.94,2.50,0.44,17.7
169,Mathlib.CategoryTheory.Closed.Enrichment,1.50,1.28,0.23,17.7
170,Mathlib.CategoryTheory.Limits.FilteredColimitCommutesFiniteLimit,2.78,2.36,0.42,17.6
171,Mathlib.CategoryTheory.Monoidal.DayConvolution,16.02,13.62,2.40,17.6
172,Mathlib.CategoryTheory.LiftingProperties.ParametrizedAdjunction,3.77,3.20,0.56,17.6
173,Mathlib.Condensed.Discrete.LocallyConstant,4.36,3.71,0.65,17.5
174,Mathlib.MeasureTheory.Function.AEMeasurableOrder,3.19,2.71,0.47,17.4
175,Mathlib.CategoryTheory.Subpresheaf.Equalizer,1.84,1.57,0.27,17.4
176,Mathlib.Algebra.Star.Free,1.85,1.57,0.27,17.3
177,Mathlib.Algebra.Category.AlgCat.Limits,4.18,3.57,0.62,17.3
178,Mathlib.AlgebraicTopology.SimplicialSet.NerveNondegenerate,2.11,1.80,0.31,17.3
179,Mathlib.Algebra.Category.FGModuleCat.Abelian,7.52,6.41,1.11,17.2
180,Mathlib.GroupTheory.FreeGroup.GeneratorEquiv,2.11,1.80,0.31,17.2
181,Mathlib.Algebra.BigOperators.Group.Finset.Pi,1.55,1.33,0.23,17.2
182,Mathlib.LinearAlgebra.Matrix.PosDef,3.66,3.12,0.54,17.2
183,Mathlib.LinearAlgebra.AffineSpace.Ordered,4.61,3.94,0.68,17.2
184,Mathlib.RepresentationTheory.Homological.GroupCohomology.Shapiro,3.19,2.72,0.47,17.1
185,Mathlib.Analysis.Calculus.ContDiff.FaaDiBruno,18.64,15.93,2.72,17.1
186,Mathlib.Analysis.Calculus.TangentCone.ProperSpace,2.34,2.00,0.34,17.0
187,Mathlib.RingTheory.Extension.Cotangent.Free,4.30,3.68,0.62,16.8
188,Mathlib.RepresentationTheory.Coinduced,7.30,6.25,1.05,16.8
189,Mathlib.Analysis.Normed.Ring.Basic,7.16,6.14,1.03,16.7
190,Mathlib.RingTheory.Polynomial.ContentIdeal,2.81,2.40,0.40,16.7
191,Mathlib.LinearAlgebra.Charpoly.BaseChange,2.45,2.10,0.35,16.7
192,Mathlib.Lean.Meta.RefinedDiscrTree.Basic,1.23,1.06,0.18,16.7
193,Mathlib.RingTheory.DedekindDomain.LinearDisjoint,11.04,9.46,1.57,16.6
194,Mathlib.Analysis.Seminorm,12.89,11.05,1.84,16.6
195,Mathlib.RingTheory.AlgebraicIndependent.AlgebraicClosure,3.51,3.01,0.50,16.6
196,Mathlib.Tactic.GuardHypNums,0.78,0.67,0.11,16.5
197,Mathlib.Topology.Algebra.InfiniteSum.Field,1.98,1.70,0.28,16.5
198,Mathlib.Tactic.CasesM,1.24,1.06,0.18,16.4
199,Mathlib.Tactic.RSuffices,1.02,0.88,0.14,16.4
200,Mathlib.Analysis.Normed.Module.MStructure,3.27,2.81,0.46,16.4
201,Mathlib.Algebra.Homology.DerivedCategory.Linear,1.96,1.68,0.27,16.4
202,Mathlib.Tactic.SudoSetOption,0.89,0.77,0.12,16.3
203,Mathlib.CategoryTheory.Limits.Presentation,1.84,1.58,0.26,16.3
204,Mathlib.Tactic.Observe,1.01,0.86,0.14,16.3
205,Mathlib.Algebra.Homology.HomotopyCategory.KInjective,3.28,2.82,0.46,16.3
206,Mathlib.LinearAlgebra.RootSystem.Basic,4.88,4.20,0.68,16.3
207,Mathlib.Algebra.Field.IsField,1.62,1.39,0.23,16.2
208,Mathlib.Algebra.Category.ModuleCat.Sheaf.Free,2.54,2.18,0.35,16.2
209,Mathlib.RingTheory.Flat.FaithfullyFlat.Basic,5.28,4.54,0.74,16.2
210,Mathlib.Logic.UnivLE,1.14,0.98,0.16,16.2
211,Mathlib.RingTheory.Jacobson.Ring,4.93,4.25,0.68,16.1
212,Mathlib.CategoryTheory.Category.Cat.Adjunction,1.74,1.50,0.24,16.0
213,Mathlib.Analysis.Calculus.FDeriv.ContinuousMultilinearMap,9.32,8.04,1.29,16.0
214,Mathlib.RingTheory.RingHom.OpenImmersion,2.43,2.10,0.34,16.0
215,Mathlib.ModelTheory.Types,1.83,1.58,0.25,16.0
216,Mathlib.RingTheory.Multiplicity,4.10,3.54,0.56,15.9
217,Mathlib.RingTheory.Valuation.AlgebraInstances,4.46,3.85,0.61,15.9
218,Mathlib.Algebra.Order.Monoid.Defs,1.49,1.28,0.20,15.8
219,Mathlib.LinearAlgebra.QuadraticForm.Real,3.27,2.82,0.45,15.8
220,Mathlib.AlgebraicTopology.SimplicialCategory.SimplicialObject,1.82,1.57,0.25,15.8
221,Mathlib.Topology.PartitionOfUnity,3.88,3.35,0.53,15.8
222,Mathlib.Topology.Algebra.Module.WeakBilin,2.46,2.12,0.33,15.8
223,Mathlib.Topology.Separation.Lemmas,2.07,1.79,0.28,15.7
224,Mathlib.RepresentationTheory.Homological.GroupHomology.Shapiro,2.66,2.30,0.36,15.7
225,Mathlib.Topology.Algebra.Module.StrongTopology,13.84,11.96,1.88,15.7
226,Mathlib.RingTheory.Valuation.ValuationSubring,7.64,6.61,1.03,15.7
227,Mathlib.Combinatorics.SimpleGraph.Hamiltonian,1.71,1.48,0.23,15.6
228,Mathlib.LinearAlgebra.LinearPMap,7.74,6.70,1.04,15.5
229,Mathlib.Algebra.Order.GroupWithZero.Synonym,1.13,0.98,0.15,15.5
230,Mathlib.Tactic.Linter.DocString,1.01,0.88,0.14,15.5
231,Mathlib.Algebra.Module.LinearMap.DivisionRing,1.62,1.40,0.22,15.5
232,Mathlib.CategoryTheory.Limits.Constructions.BinaryProducts,2.05,1.77,0.27,15.4
233,Mathlib.CategoryTheory.Triangulated.TStructure.Basic,2.52,2.18,0.34,15.4
234,Mathlib.Data.List.Forall2,1.72,1.49,0.23,15.4
235,Mathlib.Data.List.Basic,5.76,4.99,0.77,15.4
236,Mathlib.CategoryTheory.Comma.StructuredArrow.Functor,2.65,2.29,0.35,15.4
237,Mathlib.RepresentationTheory.Rep,13.18,11.43,1.75,15.3
238,Mathlib.CategoryTheory.GuitartExact.KanExtension,2.05,1.78,0.27,15.3
239,Mathlib.Lean.PrettyPrinter.Delaborator,0.90,0.78,0.12,15.3
240,Mathlib.Tactic.Linter.DocPrime,1.11,0.96,0.15,15.3
241,Mathlib.RingTheory.Extension.Cotangent.Basic,15.80,13.71,2.09,15.3
242,Mathlib.Algebra.Lie.TraceForm,9.68,8.39,1.28,15.2
243,Mathlib.Combinatorics.SetFamily.KruskalKatona,2.41,2.10,0.32,15.2
244,Mathlib.RingTheory.Noetherian.Nilpotent,1.86,1.62,0.25,15.2
245,Mathlib.Algebra.Lie.InvariantForm,3.42,2.97,0.45,15.2
246,Mathlib.Algebra.Category.MonCat.Basic,3.95,3.43,0.52,15.2
247,Mathlib.Tactic.Set,1.12,0.98,0.15,15.1
248,Mathlib.Algebra.AffineMonoid.UniqueSums,1.84,1.60,0.24,15.1
249,Mathlib.Topology.Sheaves.SheafCondition.EqualizerProducts,5.78,5.03,0.76,15.1
250,Mathlib.Analysis.Normed.Module.Extr,2.05,1.78,0.27,15.1
251,Mathlib.Algebra.Group.Int.TypeTags,1.25,1.08,0.16,15.1
252,Mathlib.Geometry.Euclidean.Incenter,8.06,7.00,1.05,15.0
253,Mathlib.AlgebraicTopology.SimplicialSet.Path,3.27,2.85,0.43,15.0
254,Mathlib.RingTheory.AlgebraicIndependent.Transcendental,3.24,2.82,0.42,15.0
255,Mathlib.Analysis.NormedSpace.Connected,2.05,1.78,0.27,15.0
256,Mathlib.Init,0.90,0.78,0.12,15.0
257,Mathlib.AlgebraicTopology.FundamentalGroupoid.SimplyConnected,2.18,1.90,0.28,15.0
258,Mathlib.NumberTheory.Padics.PadicVal.Basic,2.41,2.10,0.31,15.0
259,Mathlib.Tactic.FunProp.Decl,1.10,0.96,0.14,14.9
260,Mathlib.Analysis.Normed.Ring.Units,2.77,2.41,0.36,14.9
261,Mathlib.Algebra.Category.MonCat.Yoneda,2.67,2.32,0.35,14.9
262,Mathlib.LinearAlgebra.QuadraticForm.QuadraticModuleCat.Monoidal,5.51,4.80,0.71,14.9
263,Mathlib.LinearAlgebra.PiTensorProduct,8.40,7.31,1.09,14.9
264,Mathlib.Data.Nat.Count,1.72,1.50,0.22,14.9
265,Mathlib.AlgebraicTopology.DoldKan.Degeneracies,2.55,2.22,0.33,14.9
266,Mathlib.Algebra.Ring.Subgroup,1.60,1.40,0.21,14.8
267,Mathlib.CategoryTheory.Sites.Sheaf,5.35,4.66,0.69,14.8
268,Mathlib.Order.Monotone.MonovaryOrder,1.84,1.61,0.24,14.8
269,Mathlib.Data.List.Destutter,2.05,1.78,0.26,14.8
270,Mathlib.Data.ZMod.Aut,1.72,1.50,0.22,14.8
271,Mathlib.RingTheory.LocalRing.Module,14.27,12.43,1.84,14.8
272,Mathlib.Analysis.Normed.Group.Basic,8.65,7.54,1.11,14.8
273,Mathlib.Topology.Compactness.HilbertCubeEmbedding,1.82,1.59,0.23,14.7
274,Mathlib.Algebra.Algebra.Hom,3.12,2.73,0.40,14.7
275,Mathlib.LinearAlgebra.CliffordAlgebra.Fold,4.26,3.71,0.54,14.7
276,Mathlib.Data.Fintype.Quotient,1.68,1.47,0.22,14.6
277,Mathlib.CategoryTheory.Sites.Hypercover.IsSheaf,1.83,1.60,0.23,14.6
278,Mathlib.Analysis.InnerProductSpace.Subspace,4.06,3.54,0.52,14.6
279,Mathlib.CategoryTheory.Bicategory.Adjunction.Mate,5.44,4.74,0.69,14.6
280,Mathlib.AlgebraicTopology.DoldKan.NCompGamma,2.79,2.43,0.35,14.6
281,Mathlib.GroupTheory.QuotientGroup.Basic,3.72,3.25,0.47,14.6
282,Mathlib.CategoryTheory.Limits.Constructions.FiniteProductsOfBinaryProducts,1.93,1.68,0.25,14.6
283,Mathlib.Algebra.Ring.Action.Rat,1.23,1.08,0.16,14.6
284,Mathlib.LinearAlgebra.AffineSpace.AffineMap,8.55,7.46,1.09,14.6
285,Mathlib.Algebra.Homology.ShortComplex.ModuleCat,6.69,5.84,0.85,14.6
286,Mathlib.Topology.Instances.AddCircle.Defs,5.45,4.75,0.69,14.6
287,Mathlib.Data.Prod.PProd,1.11,0.97,0.14,14.6
288,Mathlib.RingTheory.Unramified.Field,4.54,3.96,0.58,14.5
289,Mathlib.RingTheory.Etale.Field,4.70,4.10,0.60,14.5
290,Mathlib.Tactic.Linter.CommandStart,1.14,0.99,0.14,14.5
291,Mathlib.Algebra.Homology.HomotopyCategory.ShortExact,3.56,3.11,0.45,14.5
292,Mathlib.RingTheory.Localization.Basic,5.83,5.09,0.74,14.5
293,Mathlib.Analysis.Calculus.ContDiff.RestrictScalars,3.49,3.05,0.44,14.5
294,Mathlib.Tactic.Linter.DeprecatedSyntaxLinter,1.11,0.97,0.14,14.5
295,Mathlib.RingTheory.Ideal.IsPrincipalPowQuotient,3.05,2.67,0.39,14.4
296,Mathlib.Data.ZMod.ValMinAbs,2.03,1.78,0.26,14.4
297,Mathlib.Tactic.HigherOrder,1.11,0.97,0.14,14.4
298,Mathlib.Algebra.Category.Grp.Yoneda,3.05,2.67,0.38,14.3
299,Mathlib.Topology.Compactification.OnePoint,1.44,1.25,0.18,14.3
300,Mathlib.Control.Functor,0.99,0.86,0.12,14.3
301,Mathlib.Algebra.Group.Nat.Even,1.71,1.49,0.21,14.3
302,Mathlib.Algebra.Polynomial.Eval.Irreducible,1.71,1.50,0.21,14.3
303,Mathlib.Testing.Plausible.Sampleable,1.10,0.96,0.14,14.2
304,Mathlib.AlgebraicGeometry.Morphisms.UniversallyOpen,2.75,2.41,0.34,14.2
305,Mathlib.Lean.Meta.RefinedDiscrTree.Encode,1.20,1.05,0.15,14.2
306,Mathlib.RepresentationTheory.Homological.GroupHomology.LowDegree,17.80,15.58,2.21,14.2
307,Mathlib.RingTheory.Polynomial.Cyclotomic.Eval,4.50,3.94,0.56,14.2
308,Mathlib.SetTheory.Game.Short,2.30,2.01,0.29,14.2
309,Mathlib.RingTheory.Algebraic.Integral,8.83,7.73,1.10,14.2
310,Mathlib.Data.List.Lattice,1.81,1.59,0.23,14.2
311,Mathlib.RingTheory.Valuation.LocalSubring,4.81,4.21,0.60,14.2
312,Mathlib.Analysis.NormedSpace.BallAction,1.82,1.59,0.22,14.1
313,Mathlib.ModelTheory.Substructures,3.57,3.13,0.44,14.1
314,Mathlib.Tactic.Linter.MinImports,1.11,0.97,0.14,14.1
315,Mathlib.Topology.Algebra.Module.Cardinality,2.65,2.32,0.33,14.0
316,Mathlib.Combinatorics.Matroid.Minor.Order,1.83,1.60,0.23,14.0
317,Mathlib.Analysis.Normed.Module.RieszLemma,2.56,2.24,0.31,14.0
318,Mathlib.Tactic.DeprecateTo,1.21,1.06,0.15,14.0
319,Mathlib.CategoryTheory.Category.Cat.CartesianClosed,2.06,1.80,0.25,14.0
320,Mathlib.Dynamics.BirkhoffSum.NormedSpace,2.37,2.08,0.29,14.0
321,Mathlib.Util.AssertExists,1.00,0.88,0.12,13.9
322,Mathlib.Algebra.FreeNonUnitalNonAssocAlgebra,1.82,1.60,0.22,13.9
323,Mathlib.Topology.EMetricSpace.PairReduction,5.13,4.50,0.63,13.9
324,Mathlib.Topology.Algebra.Order.Group,2.63,2.31,0.32,13.9
325,Mathlib.Order.CountableDenseLinearOrder,1.82,1.60,0.22,13.9
326,Mathlib.Algebra.GroupWithZero.Commute,1.23,1.08,0.15,13.9
327,Mathlib.Geometry.RingedSpace.Stalks,3.21,2.82,0.39,13.8
328,Mathlib.Algebra.Category.ModuleCat.Sheaf.Abelian,2.05,1.80,0.25,13.8
329,Mathlib.Control.Basic,0.99,0.87,0.12,13.8
330,Mathlib.Data.Nat.Cast.Prod,1.22,1.07,0.15,13.8
